Video-Streaming;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
;;;;;;;;;;;;;;
Video Buffering (artificially generated!);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
VSB-D-1;"Time to start";720;80;50000;16;16;Reference;Auto;;;;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Time to start"
VSB-D-2;"Time to start";1000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-3;"Time to start";2000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-4;"Time to start";3000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-5;"Time to start";6000;80;50000;16;16;"Anchor 1";Auto;;;;;;
VSB-D-6;"Time to start";9000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-7;"Time to start";14000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-8;"Time to start";19000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-9;"Time to start";24000;80;50000;16;16;Assessment;Auto;;;;;;
VSB-D-10;"Time to start";14000;580;50000;16;16;"Anchor 2";Auto;;;;;;
"";;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";Video;Link;Assessment
VSB-E-1;"Num. Rebuffering";6000;80;50000;16;16;"Reference/Anchor 1";Auto;;0;0;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Number of rebuffering phases"
VSB-E-2;"Num. Rebuffering";6000;80;50000;16;16;"Anchor 3";Auto;;1;4000;;;
VSB-E-3;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;2;4000;;;
VSB-E-4;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;3;4000;;;
VSB-E-5;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;4;4000;;;
VSB-E-6;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;5;4000;;;
VSB-E-7;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;6;4000;;;
VSB-E-8;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;7;4000;;;
VSB-E-9;"Num. Rebuffering";6000;80;50000;16;16;Assessment;Auto;;8;4000;;;
VSB-E-10;"Num. Rebuffering";14000;80;50000;16;16;"Anchor 2";;Auto;1;4000;;;
;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";Video;Link;Assessment
VSB-F-1;"Reb. Duration";6000;80;50000;16;16;Reference;Auto;;1;200;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Duration of rebuffering phases"
VSB-F-2;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;500;;;
VSB-F-3;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;1000;;;
VSB-F-4;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;2000;;;
VSB-F-5;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;3000;;;
VSB-F-6;"Reb. Duration";6000;80;50000;16;16;"Anchor 3";Auto;;1;4000;;;
VSB-F-7;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;5000;;;
VSB-F-8;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;10000;;;
VSB-F-9;"Reb. Duration";6000;80;50000;16;16;Assessment;Auto;;1;20000;;;
VSB-F-10;"Reb. Duration";14000;80;50000;16;16;"Anchor 2";Auto;;1;8000;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Web-Browsing;;;;;;;;;;;
;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-A-1;"Basic set";40;285;50000;18;18;Reference;;;;;"Anzeige der O2 Webseite
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).
Resolution: Auto";https://www.o2online.de/;Throughput
WB-A-2;"Basic set";40;285;20000;18;18;Assessment;;;;
WB-A-3;"Basic set";40;270;10000;18;18;Assessment;;;;
WB-A-4;"Basic set";85;250;5000;18;18;Assessment;;;;
WB-A-5;"Basic set";160;205;2000;18;18;Assessment;;;;
WB-A-6;"Basic set";180;185;1000;18;18;Assessment;;;;
WB-A-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-A-8;"Basic set";190;173;500;18;18;Assessment;;;;
WB-A-9;"Basic set";200;160;200;18;18;Assessment;;;;
WB-A-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-B-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Anzeige der Spiegel Webseite
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).
Resolution: Auto";https://www.spiegel.de/;Throughput
WB-B-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-B-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-B-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-B-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-B-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-B-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-B-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-B-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-B-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";"Codec";"Dynamic";"Num. Rebuffering";"Rebuffering duration  [ms]";"Web site";Link;Assessment
WB-C-1;"Basic set";40;350;50000;18;18;Reference;;;;;"Starten von Google News
Excerpt from 00:00 (min:sec) to 00:30 (min:sec).
Resolution: Auto";https://news.google.de/;Throughput
WB-C-2;"Basic set";40;350;20000;18;18;Assessment;;;;
WB-C-3;"Basic set";40;350;10000;18;18;Assessment;;;;
WB-C-4;"Basic set";85;300;5000;18;18;Assessment;;;;
WB-C-5;"Basic set";160;220;2000;18;18;Assessment;;;;
WB-C-6;"Basic set";180;186;1000;18;18;Assessment;;;;
WB-C-7;"Basic set";184;180;750;18;18;Assessment;;;;
WB-C-8;"Basic set";190;172;500;18;18;Assessment;;;;
WB-C-9;"Basic set";200;155;200;18;18;Assessment;;;;
WB-C-10;"Basic set";205;80;100;18;18;Assessment;;;;
;;;;;;;;;;;
"Parameter übernommen von WB-B.";;;;;;;;;;;
